	Player,	Cost,	Sel,	Form,	PTS
	"
Emerson
CHEDEF"	4.5	0.0%	0.0	1
	"
Rak-Sakyi
CRYMID"	4.5	0.0%	0.0	1
	"
Begović
EVEGKP"	4.0	3.1%	0.0	1
	"
Kenny
EVEDEF"	4.4	0.1%	0.0	1
	"
Onyango
EVEMID"	4.5	0.0%	0.2	1
	"
Kean
EVEFWD"	6.0	0.0%	0.0	1
	"
Tosun
EVEFWD"	5.0	0.0%	0.2	1
	"
Choudhury
LEIMID"	4.4	0.1%	0.0	1
	"
McAteer
LEIMID"	4.5	0.0%	1.0	1
	"
Costa
LEEMID"	5.4	0.1%	0.0	1
	"
McKinstry
LEEMID"	4.4	0.2%	0.2	1
	"
Morton
LIVMID"	4.5	0.0%	0.2	1
	"
McAtee
MCIMID"	4.5	0.0%	0.2	1
	"
Elanga
MUNMID"	4.8	0.0%	0.2	1
	4.5	0.0%	1.0	1	
	"
Long
SOUFWD"	5.4	0.2%	0.0	1
	"
Rodon
TOTDEF"	4.3	0.1%	0.0	1
	"
Gosling
WATMID"	4.7	0.0%	0.0	1
	"
Fredericks
WHUDEF"	4.4	0.1%	0.0	1
	"
Gibbs-White
WOLMID"	4.5	0.1%	0.0	1
